File name;Lines in the file;Matched lines;Error matched lines;Number of matched SNPs;Number of Alleles matched;Number of rules triggered
user1004_file498_yearofbirth_unknown_sex_unknown.23andme.txt;1766;0;0;0;0;0
user1001_file496_yearofbirth_unknown_sex_unknown.23andme.txt;701479;0;0;0;0;0
user1005_file541_yearofbirth_1981_sex_XY.23andme.txt;707269;120;1;119;3;0
user1002_file497_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;277;4;1
user1010_file502_yearofbirth_1984_sex_XY.23andme.txt;574514;225;7;218;5;5
user1017_file505_yearofbirth_unknown_sex_unknown.23andme.txt;3;0;0;0;0;0
user1006_file499_yearofbirth_unknown_sex_unknown.23andme.txt;701478;116;0;116;3;1
user1013_file503_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;9;275;5;4
user1020_file507_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;8;276;6;5
user1024_file510_yearofbirth_1971_sex_XX.23andme.txt;960613;288;11;277;6;5
user1022_file508_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;10;274;6;5
user1026_file511_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;12;276;4;4
user1028_file514_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;277;5;4
user1029_file515_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;14;274;5;4
user1033_file567_yearofbirth_1992_sex_XY.23andme.txt;960613;284;11;273;5;4
user1034_file517_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;13;271;4;4
user1036_file519_yearofbirth_unknown_sex_unknown.23andme.txt;991786;296;9;287;19;2
user1039_file521_yearofbirth_1958_sex_XY.23andme.txt;960613;284;11;273;5;4
user1038_file520_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;12;276;3;4
user1042_file524_yearofbirth_unknown_sex_unknown.23andme.txt;701479;0;0;0;0;0
user103_file50_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;20;278;5;5
user1040_file522_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;14;270;5;4
user1041_file523_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;13;275;4;4
user1045_file526_yearofbirth_1972_sex_XX.23andme.txt;960613;288;13;275;6;4
user1046_file527_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;11;273;4;4
user1047_file528_yearofbirth_1958_sex_XY.23andme.txt;960613;284;13;271;8;5
user1048_file529_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;13;271;14;4
user1051_file530_yearofbirth_1949_sex_unknown.23andme.txt;960613;288;12;276;6;5
user1059_file535_yearofbirth_unknown_sex_unknown.23andme.txt;701479;115;0;115;2;1
user1053_file531_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;11;273;6;5
user1058_file533_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;16;272;15;4
user1060_file536_yearofbirth_1971_sex_unknown.23andme.txt;960613;284;12;272;4;4
user1063_file540_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;14;270;6;5
user1064_file542_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;277;6;2
user1062_file538_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;279;5;4
user1066_file543_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;9;275;5;5
user1072_file548_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;12;272;7;5
user1075_file550_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;14;274;6;4
user1071_file552_yearofbirth_1968_sex_XY.23andme.txt;991786;296;10;286;16;4
user1077_file551_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;12;272;3;4
user1078_file553_yearofbirth_1974_sex_XX.23andme.txt;701479;0;0;0;0;0
user1081_file556_yearofbirth_unknown_sex_unknown.23andme.txt;2459;0;0;0;0;0
user1079_file554_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;10;278;6;5
user107_file51_yearofbirth_1965_sex_XX.23andme.txt;960520;290;10;280;5;4
user1085_file557_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;14;270;5;4
user1087_file558_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;277;5;5
user1089_file559_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;13;269;461;42
user1091_file560_yearofbirth_1990_sex_XY.23andme.txt;960613;284;12;272;5;4
user1094_file563_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;15;269;5;5
user1097_file564_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;7;277;4;4
user10_file3_yearofbirth_1982_sex_XY.23andme.txt;966983;298;19;279;5;5
user1103_file565_yearofbirth_unknown_sex_XX.23andme.txt;960613;288;11;277;5;4
user1106_file568_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;13;269;461;42
user1108_file571_yearofbirth_unknown_sex_unknown.23andme.txt;701479;0;0;0;0;0
user1108_file572_yearofbirth_unknown_sex_unknown.23andme.txt;701479;0;0;0;0;0
user1107_file570_yearofbirth_unknown_sex_XX.23andme.txt;960613;288;14;274;4;4
user117_file53_yearofbirth_1981_sex_XY.23andme.txt;574404;224;5;219;6;5
user1112_file573_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;10;274;5;5
user118_file52_yearofbirth_1970_sex_XY.23andme.txt;576517;227;5;222;15;4
user1114_file574_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;17;267;6;5
user11_file176_yearofbirth_unknown_sex_unknown.23andme.txt;960520;286;12;274;15;4
user123_file54_yearofbirth_unknown_sex_unknown.23andme.txt;1003773;312;18;294;4;4
user124_file55_yearofbirth_1947_sex_XX.23andme.txt;960520;290;10;280;5;4
user125_file56_yearofbirth_1976_sex_XY.23andme.txt;991624;297;11;286;7;5
user126_file57_yearofbirth_unknown_sex_unknown.23andme.txt;578337;229;6;223;5;5
user139_file59_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;21;277;6;2
user13_file4_yearofbirth_1979_sex_XY.23andme.txt;966983;298;20;278;4;4
user137_file58_yearofbirth_unknown_sex_unknown.23andme.txt;996065;307;18;289;3;4
user143_file75_yearofbirth_unknown_sex_unknown.23andme.txt;574405;224;8;216;4;4
user141_file60_yearofbirth_unknown_sex_unknown.23andme.txt;960520;286;14;272;6;5
user144_file61_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;279;4;4
user146_file62_yearofbirth_1971_sex_XY.23andme.txt;960545;286;14;272;3;4
user148_file63_yearofbirth_1971_sex_XY.23andme.txt;576516;227;6;221;16;5
user158_file66_yearofbirth_unknown_sex_unknown.23andme.txt;1677118;0;0;0;0;0
