File name;Lines in the file;Matched lines;Error matched lines;Number of matched SNPs;Number of Alleles matched;Number of rules triggered
user1005_file541_yearofbirth_1981_sex_XY.23andme.txt;707269;120;1;119;1;0
user1001_file496_yearofbirth_unknown_sex_unknown.23andme.txt;701479;116;0;116;1;1
user1002_file497_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;277;3;7
user1006_file499_yearofbirth_unknown_sex_unknown.23andme.txt;701478;116;0;116;0;1
user1010_file502_yearofbirth_1984_sex_XY.23andme.txt;574514;229;11;218;4;4
user1013_file503_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;13;275;4;4
user1020_file507_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;12;276;4;4
user1022_file508_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;14;274;4;4
user1024_file510_yearofbirth_1971_sex_XX.23andme.txt;960613;288;11;277;5;4
user1026_file511_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;12;276;3;4
user1028_file514_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;277;5;4
user1029_file515_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;14;274;5;4
user1033_file567_yearofbirth_1992_sex_XY.23andme.txt;960613;288;15;273;4;4
user1034_file517_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;17;271;2;4
user1038_file520_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;12;276;3;4
user1036_file519_yearofbirth_unknown_sex_unknown.23andme.txt;991786;300;13;287;5;7
user1039_file521_yearofbirth_1958_sex_XY.23andme.txt;960613;288;15;273;5;4
user103_file50_yearofbirth_unknown_sex_unknown.23andme.txt;966983;302;24;278;4;4
user1040_file522_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;18;270;3;4
user1041_file523_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;13;275;3;4
user1042_file524_yearofbirth_unknown_sex_unknown.23andme.txt;701479;116;3;113;1;1
user1046_file527_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;15;273;2;4
user1045_file526_yearofbirth_1972_sex_XX.23andme.txt;960613;288;13;275;4;4
user1047_file528_yearofbirth_1958_sex_XY.23andme.txt;960613;288;17;271;5;4
user1048_file529_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;17;271;3;4
user1053_file531_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;15;273;2;4
user1059_file535_yearofbirth_unknown_sex_unknown.23andme.txt;701479;116;1;115;4;1
user1058_file533_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;16;272;4;4
user1051_file530_yearofbirth_1949_sex_unknown.23andme.txt;960613;288;12;276;5;4
user1064_file542_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;11;277;3;7
user1060_file536_yearofbirth_1971_sex_unknown.23andme.txt;960613;288;16;272;2;4
user1062_file538_yearofbirth_unknown_sex_unknown.23andme.txt;966983;302;23;279;4;4
user1063_file540_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;18;270;3;4
user1071_file552_yearofbirth_1968_sex_XY.23andme.txt;991786;300;14;286;3;4
user1066_file543_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;13;275;3;4
user1072_file548_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;16;272;5;4
user1075_file550_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;14;274;2;4
