File name;Lines in the file;Matched lines;Error matched lines;Number of matched SNPs;Number of Alleles matched;Number of rules triggered
user1106_file568_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;13;269;418;42
user1089_file559_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;13;269;418;42
user146_file62_yearofbirth_1971_sex_XY.23andme.txt;960545;286;14;269;418;42
user158_file66_yearofbirth_unknown_sex_unknown.23andme.txt;1677118;0;0;0;0;0
user154_file65_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;19;269;418;42
user199_file86_yearofbirth_unknown_sex_unknown.23andme.txt;966983;298;23;269;418;42
user280_file114_yearofbirth_1989_sex_XX.23andme.txt;991624;301;11;269;418;42
user347_file157_yearofbirth_1952_sex_XX.23andme.txt;991624;301;12;269;418;42
user33_file12_yearofbirth_unknown_sex_unknown.23andme.txt;991600;297;12;269;418;42
user357_file163_yearofbirth_unknown_sex_unknown.23andme.txt;960520;286;12;269;418;42
user519_file236_yearofbirth_1987_sex_XY.23andme.txt;960566;286;15;269;418;42
user701_file325_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;7;269;418;42
user784_file444_yearofbirth_unknown_sex_unknown.23andme.txt;960613;288;10;269;418;42
user795_file379_yearofbirth_1987_sex_XX.23andme.txt;966983;302;22;269;418;42
user839_file415_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;10;269;418;42
user951_file474_yearofbirth_unknown_sex_unknown.23andme.txt;960613;284;9;269;418;42
