SNP name;Number of occurrences
rs2069526;342
rs799912;342
rs35010098;342
rs1801280;337
rs799917;342
rs717620;343
rs28383479;327
rs5031017;48
rs701265;342
rs5031016;342
rs76293380;15
rs2230037;103
rs1801279;342
rs2069514;15
rs762551;342
rs3918290;327
rs11568732;319
rs17886522;297
rs1801272;342
rs56296335;326
rs34223104;327
rs28383468;326
rs10929302;333
rs1801266;327
rs1801265;306
rs1801268;341
rs1801267;15
rs34059508;16
rs35303484;342
rs4646438;15
rs2359612;342
rs17238484;15
rs72552267;340
rs72552791;341
rs2472304;342
rs3807375;328
rs12721608;341
rs55817950;340
rs1048943;327
rs1801253;327
rs1801252;68
rs1060915;332
rs1050829;103
rs1050828;104
rs1143671;327
rs1143672;308
rs2066853;343
rs3909184;342
rs6791924;342
rs55752064;341
rs4629571;15
rs2844682;327
rs28365083;327
rs28365085;0
rs9923231;342
rs3211371;48
rs56318881;339
rs4818;18
rs2470890;328
rs4149015;341
rs17884712;342
rs2046934;341
rs3892097;52
rs1800497;342
rs1138272;342
rs4803419;48
rs4803418;332
rs58973490;15
rs76723693;15
rs20417;327
rs35694136;15
rs1902023;14
rs1058930;343
rs79135870;0
rs2256871;342
rs17878649;341
rs28371685;327
rs28371686;327
rs28374453;15
rs1080985;18
rs36056539;327
rs3740066;342
rs3211369;0
rs56199535;16
rs7916649;339
rs56337013;15
rs118203759;0
rs7900194;327
rs118203757;15
rs4680;343
rs118203756;0
rs56161402;0
rs56244447;341
rs4986782;327
rs4986783;342
rs56101265;326
rs2306168;341
rs12721655;15
rs17881535;15
rs1041983;341
rs33980385;336
rs4149056;343
rs17879992;15
rs142965323;15
rs1042713;342
rs17238540;342
rs1042714;340
rs4124874;323
rs35979566;327
rs1800462;342
rs7196161;336
rs2306283;342
rs8176318;327
rs1065411;15
rs41279857;342
rs17884832;18
rs55750087;341
rs41279854;327
rs7088784;19
rs1800460;327
rs28371759;342
rs55785340;338
rs4986893;327
rs4986894;327
rs4986891;342
rs11572103;342
rs55886062;341
rs36103319;341
rs55793712;341
rs10509681;327
rs1800584;327
rs36079186;335
rs1065776;340
rs28371725;340
rs1799752;15
rs56160784;341
rs4633;343
rs12979860;339
rs1131596;15
rs17861157;342
rs59502379;325
rs55965422;326
rs3846663;327
rs3846662;343
rs7902257;326
rs3814055;327
rs2293616;342
rs8050894;342
rs2395029;327
rs12721627;327
rs873478;4
rs5629;50
rs12721629;15
rs17244841;326
rs316019;341
rs13404099;0
rs36060847;342
rs9908805;342
rs34489327;15
rs1800031;342
rs28371706;342
rs1800566;342
rs12721634;342
rs56199088;341
rs56276455;326
rs1128503;342
rs17880887;337
rs4986850;342
rs7439366;15
rs776746;327
rs12721649;342
rs4986852;327
rs55737008;341
rs17708472;342
rs56172717;341
rs34946978;327
rs9911630;328
rs34826503;68
rs4802101;0
rs4986910;342
rs4986913;342
rs10276036;328
rs5030862;305
rs5030863;15
rs5030865;25
rs9282861;0
rs5030868;103
rs5030867;342
rs1799853;342
rs10935838;0
rs2740574;342
rs140790673;15
rs35468935;15
rs4704209;15
rs33926104;342
rs5030839;342
rs34743033;0
rs1799929;342
rs2884737;342
rs33973337;28
