Polymorphism name;Number of occurrences
homozygous_CYP2B6_star_8;15
homozygous_CYP2B6_star_9;15
BRCA1_1_hash;15
homozygous_CYP2B6_star_3;15
CYP2C19_star_3B;15
CYP3A4_star_6;15
homozygous_CYP1A2_star_1J;15
homozygous_CYP1A2_star_1K;15
CYP2C19_star_3A;15
homozygous_CYP3A4_star_6;0
homozygous_CYP1A2_star_20;15
homozygous_CYP1A2_star_21;15
CYP2A6_star_18C;15
CYP2A6_star_18B;15
G6PD_haplotype_A-_202A__376G;15
homozygous_CYP1A2_star_1A;0
VKORC1_star_4;15
CYP2A6_star_18A;15
homozygous_CYP1A2_star_1E;0
homozygous_CYP2A6_star_1B13;15
homozygous_CYP2A6_star_1B12;15
homozygous_CYP1A2_star_1C;0
homozygous_CYP2A6_star_1B11;15
homozygous_CYP1A2_star_1B;0
homozygous_CYP2A6_star_1B10;15
homozygous_CYP1A2_star_1H;15
homozygous_CYP1A2_star_1G;15
homozygous_CYP1A2_star_1F;0
CYP2C19_star_4B;15
G6PD_haplotype_A-_968C__376G;15
CYP2C19_star_4A;15
homozygous_CYP1A2_star_10;15
homozygous_CYP1A2_star_11;15
homozygous_CYP1A2_star_14;15
homozygous_CYP1A2_star_15;15
homozygous_CYP1A2_star_12;15
homozygous_CYP1A2_star_13;15
homozygous_BRCA1_10;15
homozygous_CYP1A2_star_18;15
homozygous_CYP1A2_star_19;15
homozygous_CYP1A2_star_16;15
homozygous_CYP1A2_star_17;15
homozygous_TPMT_star_5;15
CYP2B6_star_10;15
homozygous_TPMT_star_4;0
CYP2B6_star_12;15
homozygous_TPMT_star_2;0
homozygous_TPMT_star_9;15
CYP2B6_star_14;15
homozygous_TPMT_star_8;15
homozygous_TPMT_star_7;15
CYP2B6_star_16;15
homozygous_TPMT_star_6;15
homozygous_CYP2A6_star_1B14;15
homozygous_CYP2A6_star_1B15;15
homozygous_CYP2A6_star_1B16;15
BRCA1_4_hash;15
homozygous_CYP2A6_star_1B17;15
CYP2C19_star_5A;15
CYP2C19_star_5B;15
homozygous_TPMT_star_1;0
VKORC1_star_3;15
VKORC1_star_2;15
homozygous_CYP2C19_star_19;15
homozygous_COMT_Haplotype_intermediate_activity;15
homozygous_CYP2C19_star_12;0
CYP1A2_star_5;0
homozygous_CYP2C19_star_11;0
CYP1A2_star_4;15
homozygous_CYP2C19_star_14;0
CYP1A2_star_3;15
homozygous_CYP2C19_star_13;0
CYP1A2_star_2;15
homozygous_ADRB1_H1;0
homozygous_BRCA1_2_hash;15
homozygous_CYP2C19_star_16;15
homozygous_ADRB1_H2;15
homozygous_CYP2C19_star_15;0
homozygous_ADRB1_H3;15
homozygous_CYP2C19_star_18;15
homozygous_CYP2C19_star_17;15
homozygous_BRCA1_3_hash;15
homozygous_CYP2C19_star_10;0
CYP1A2_star_7;15
CYP1A2_star_6;15
homozygous_CYP2C9_star_30;15
CYP1A2_star_9;0
homozygous_CYP2C9_star_31;15
CYP1A2_star_8;15
homozygous_CYP2C9_star_32;15
homozygous_CYP2C9_star_33;0
homozygous_CYP2C9_star_34;0
homozygous_TPMT_star_24_PMID__18602085_;15
homozygous_VKORC1_H9;15
homozygous_VKORC1_H8;15
homozygous_VKORC1_H3;15
homozygous_VKORC1_H2;15
CYP2A6_star_9A;15
homozygous_VKORC1_H1;15
homozygous_VKORC1_H7;15
homozygous_VKORC1_H6;15
homozygous_VKORC1_H5;15
CYP2A6_star_9B;15
homozygous_VKORC1_H4;15
homozygous_CYP2C9_star_4;0
homozygous_CYP2C9_star_3;0
homozygous_CYP2C9_star_2;0
homozygous_CYP2C9_star_1;0
homozygous_CYP2C9_star_9;0
homozygous_CYP2C9_star_8;0
homozygous_CYP2C9_star_7;0
homozygous_CYP2C9_star_5;0
homozygous_CYP2C9_star_19;15
homozygous_CYP2C9_star_18;15
homozygous_CYP2C9_star_15;0
homozygous_CYP2C9_star_14;0
homozygous_CYP2C9_star_17;15
homozygous_CYP2C9_star_16;0
BRCA1_2_hash;15
UGT1A1_star_VIII;15
ABCB1_star_13__per_Kroetz_et_al._2003__PMID__12893986__;15
homozygous_TPMT_star_20_PMID_16917910_;15
homozygous_CYP2C9_star_10;0
homozygous_CYP2C9_star_11;0
homozygous_CYP2C9_star_12;0
homozygous_CYP2C9_star_13;0
CYP2C9_star_3;15
CYP2C9_star_2;15
CYP2C9_star_1;15
homozygous_CYP2C9_star_29;15
homozygous_CYP2C9_star_28;15
homozygous_CYP2C9_star_27;15
homozygous_CYP2C9_star_26;15
homozygous_G6PD_haplotype_B__wildtype_;15
CYP2C9_star_9;15
CYP2C9_star_8;15
CYP2C9_star_7;15
CYP2C9_star_5;15
CYP2C9_star_4;0
homozygous_COMT_Haplotype_high_activity;0
homozygous_CYP2C9_star_23;15
homozygous_CYP2C9_star_21;15
homozygous_CYP2C9_star_22;15
homozygous_CYP2C9_star_20;15
CYP2B6_star_6B;15
CYP2B6_star_6C;15
CYP2B6_star_6A;15
BRCA1_10;15
homozygous_CYP2D6_star_29;15
TPMT_star_20_PMID_16917910_;0
TPMT_star_24_PMID__18708949_;0
CYP2B6_star_5C;15
CYP2B6_star_5A;15
CYP2B6_star_5B;15
