Approved Symbol	Approved Name	Aliases	Entrez Gene ID (mapped data supplied by NCBI)	Ensembl ID (mapped data supplied by Ensembl)
PABPC1P4	poly(A) binding protein, cytoplasmic 1 pseudogene 4		341315	
TCEAL7	transcription elongation factor A (SII)-like 7	MGC23947	56849	ENSG00000182916
C11orf68	chromosome 11 open reading frame 68	P5326	83638	ENSG00000175573
HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase		3156	ENSG00000113161
ERC2	ELKS/RAB6-interacting/CAST family member 2	CAST, CAST1, KIAA0378, SPBC110, Spc110, ELKSL	26059	ENSG00000187672
LIX1	Lix1 homolog (chicken)		167410	ENSG00000145721
NBN	nibrin	ATV, AT-V2, AT-V1	4683	ENSG00000104320
TRNAL46P	transfer RNA leucine 46 (anticodon UAA) pseudogene		100189522	
CACD	central areolar choroidal dystrophy		772	
CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	KIP1, P27KIP1	1027	ENSG00000111276
AURKAIP1	aurora kinase A interacting protein 1	AKIP, AIP, FLJ20608	54998	ENSG00000175756
PHKA1P1	phosphorylase kinase, alpha 1 pseudogene 1		646780	ENSG00000232882
PRG3	proteoglycan 3	MBPH	10394	ENSG00000156575
MIR5680	microRNA 5680	hsa-mir-5680		
SNAPIN	SNAP-associated protein		23557	ENSG00000143553
HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	C(27)-3BETA-HSD, SDR11E3	80270	ENSG00000099377
RPL7AP14	ribosomal protein L7a pseudogene 14	dJ823N20.2	140756	ENSG00000213979
C17orf47	chromosome 17 open reading frame 47	FLJ40121	284083	ENSG00000181013
PSD2	pleckstrin and Sec7 domain containing 2	DKFZp761B0514	84249	ENSG00000146005
RPL17P24	ribosomal protein L17 pseudogene 24		100271153	
COL18A1-AS2	COL18A1 antisense RNA 2 (non-protein coding)			
TRAJ60	T cell receptor alpha joining 60 (pseudogene)		28695	ENSG00000249446
GAS5	growth arrest-specific 5 (non-protein coding)	SNHG2, NCRNA00030	60674	ENSG00000234741
PLIN4	perilipin 4	S3-12	729359	ENSG00000167676
CD1E	CD1e molecule		913	ENSG00000158488
ZNF280D	zinc finger protein 280D	FLJ20086, ZNF634	54816	ENSG00000137871
TTTY31P	testis-specific transcript, Y-linked 31, pseudogene		100287905	
MIR548F5	microRNA 548f-5	hsa-mir-548f-5	100302239	ENSG00000221348
COL4A2	collagen, type IV, alpha 2	FLJ22259, DKFZp686I14213	1284	ENSG00000134871
C18orf63	chromosome 18 open reading frame 63	DKFZP781G0119	644041	ENSG00000206043
ATP5G1P5	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9) pseudogene 5		390424	ENSG00000227590
MTND2P22	MT-ND2 pseudogene 22			ENSG00000231954
RPL39P23	ribosomal protein L39 pseudogene 23		100271203	
DNAJC30	DnaJ (Hsp40) homolog, subfamily C, member 30		84277	ENSG00000176410
OR13C6P	olfactory receptor, family 13, subfamily C, member 6 pseudogene		392311	
TCL1A	T-cell leukemia/lymphoma 1A	TCL1	8115	ENSG00000100721
NCOR1P3	nuclear receptor corepressor 1 pseudogene 3			
MACOM	macrophthalmia, colobomatous, with microcornea		791229	
C17orf100	chromosome 17 open reading frame 100	LOC388327	388327	ENSG00000212734
MIR598	microRNA 598	hsa-mir-598	693183	ENSG00000207600
STUB1	STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase	NY-CO-7, CHIP, SDCCAG7, HSPABP2, UBOX1	10273	ENSG00000103266
SNORD116-24	small nucleolar RNA, C/D box 116-24	HBII-85-24	100033435	ENSG00000207279
SPEF1	sperm flagellar 1	DKFZP434I114, SPEF1A	25876	ENSG00000101222
RPL28P1	ribosomal protein L28 pseudogene 1	bcm2489	402149	
C17orf78	chromosome 17 open reading frame 78	FLJ39647	284099	ENSG00000167230
ATG3	ATG3 autophagy related 3 homolog (S. cerevisiae)	PC3-96, FLJ22125, MGC15201, DKFZp564M1178	64422	ENSG00000144848
CACNA1C-AS3	CACNA1C antisense RNA 3 (non-protein coding)			ENSG00000256769
IGKV2D-40	immunoglobulin kappa variable 2D-40		28878	ENSG00000251039
MS4A14	membrane-spanning 4-domains, subfamily A, member 14	NYD-SP21, FLJ32856, DKFZp434H092	84689	ENSG00000166928
RPL21P47	ribosomal protein L21 pseudogene 47		100271164	
IMMP1L	IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae)	FLJ25059	196294	ENSG00000148950
REV3L	REV3-like, catalytic subunit of DNA polymerase zeta (yeast)	POLZ	5980	ENSG00000009413
DUXAP3	double homeobox A pseudogene 3		503632	
IGF1	insulin-like growth factor 1 (somatomedin C)	IGF1A	3479	ENSG00000017427
POU6F2-AS1	POU6F2 antisense RNA 1 (non-protein coding)			
RN5S171	RNA, 5S ribosomal 171			
LGTN	ligatin		100529141	
KIN	KIN, antigenic determinant of recA protein homolog (mouse)	KIN17	22944	ENSG00000151657
